지역,매장명,브랜드명
인천광역시 연수구 송도과학로 16번길 33-3 C동 폴바셋 ,송도트리플스트리트점,폴바셋
경기도 시흥시 서울대학로278번길 19-13 1층 ,시흥배곧점,폴바셋
서울특별시 강서구 공항대로 389 폴바셋 ,강서부민병원점,폴바셋
서울특별시 구로동 832 구로 G타워점 1층 폴 바셋 ,구로G타워점,폴바셋
서울특별시 구로구 구로동로 148 고대구로병원 신관 1층 ,고대구로병원점,폴바셋
서울특별시 구로구 디지털로  300 지밸리비즈플라자,구로지밸리몰점,폴바셋
서울특별시 양천구 목동동로  377,목동5단지점,폴바셋
"서울특별시 영등포구 영중로 15, 타임스퀘어 2층 교보문고 내 폴 바셋 영등포 타임스퀘어점 ",영등포 타임스퀘어점,폴바셋
"경기도 수원시 영통구 광교중앙로 145, 광교엘포트아이파크 1층(1이의동) ",광교엘포트몰점,폴바셋
경기도 고양시 일산동구 중앙로 1205 일산차병원 1층 폴 바셋 ,일산마두점,폴바셋
서울특별시 영등포구 국회대로68길  18 금영빌딩,국회의사당역점,폴바셋
서울특별시 영등포구 여의대로  66 KTB,여의도점,폴바셋
서울특별시 영등포구 여의도동 23 IFC몰 L2층 ,여의도 IFC몰점,폴바셋
서울특별시 마포구 월드컵로1길  14 마포 한강 푸르지오,교보문고합정점,폴바셋
서울특별시 마포구 성암로  267 (주)문화방송,MBC몰파크점,폴바셋
서울특별시 마포구 양화로  171,홍대입구역점,폴바셋
경기도 용인시 기흥구 중부대로 495 수원컨트리클럽,수원컨트리클럽점,폴바셋
서울특별시 서대문구 이화여대길  30,캠퍼스타운점,폴바셋
서울특별시 서초구 서초대로  287 석정빌딩,교대역점,폴바셋
서울특별시 서초구 고무래로 26 쌍동빌딩 동관 1F 폴 바셋,반포쌍동빌딩점,폴바셋
서울특별시 중구 청파로  463 한국경제신문사빌딩,한국경제신문사점,폴바셋
서울특별시 서초구 사임당로 157 1층 101호,서초본점,폴바셋
서울특별시 중구 서소문로9길  41-10,서대문역점,폴바셋
서울특별시 서초구 방배동 924-20 1층 폴 바셋　 ,방배역점,폴바셋
서울특별시 서초구 서초대로78길  22 홍우빌딩,강남삼성타운점,폴바셋
서울특별시 서초구 서초대로 411 GT TOWER,강남GT타워점,폴바셋
서울특별시 중구 서소문로 124 1층 폴 바셋,서소문점,폴바셋
서울특별시 서초구 강남대로  465 교보타워,교보문고강남점,폴바셋
서울특별시 종로구 신문로1가 238,신문로점,폴바셋
서울특별시 중구 세종대로  135 코리아나호텔,코리아나호텔점,폴바셋
서울특별시 용산구 한남대로  48 수도빌딩,한남커피스테이션,폴바셋
서울특별시 강남구 테헤란로  152 강남파이낸스센터,GFC점,폴바셋
서울특별시 종로구 청진동 249,광화문디타워점,폴바셋
서울특별시 종로구 청진동 149,종로1가점,폴바셋
서울특별시 중구 을지로5길  19 FERRUM TOWER,페럼타워점,폴바셋
서울특별시 종로구 공평동 100,종각역점,폴바셋
서울특별시 종로구 종로1길  50 더케이트윈타워,광화문점,폴바셋
서울특별시 중구 을지로 100 파인에비뉴,을지로파인에비뉴점,폴바셋
서울특별시 강남구 압구정로  152,압구정점,폴바셋
서울특별시 강남구 언주로  738 현대 모터스튜디오 서울,현대모터스튜디오서울점,폴바셋
서울특별시 강남구 압구정로36길  8,압구정2호점,폴바셋
서울특별시 강남구 언주로 864,언주로점,폴바셋
서울특별시 강남구 학동로  401 금하빌딩,강남구청역점,폴바셋
서울특별시 강남구 테헤란로  509 엔씨타워  I,NC타워삼성점,폴바셋
서울특별시 강남구 삼성로  710 아카데미 준오,청담역점,폴바셋
서울특별시 강남구 도산대로75길  22,청담점,폴바셋
서울특별시 강남구 일원동 717,일원역점,폴바셋
서울특별시 광진구 자양동 227-342,더클래식500(건대)점,폴바셋
서울특별시 강동구 강동대로  199 다성빌딩,올림픽공원북2문점,폴바셋
서울특별시 강동구 상일로6길  21 한국종합기술사옥,상일동점,폴바셋
경기도 의정부시 금오동 439-38 의정부 을지대병원 별관 1층 폴 바셋 ,의정부을지대병원점,폴바셋
전라북도 전주시 덕진구 장동 1111 디엠씨티  1층 폴 바셋 ,전주혁신도시점,폴바셋
전라북도 전주시 덕진구 기린대로 411(금암동) 폴바셋 ,전주금암DT점,폴바셋
부산광역시 해운대구 마린시티2로  38 해운대아이파크,부산해운대아이파크점,폴바셋
제주특별자치도 제주시 아라이동 2436 폴 바셋 ,제주아라DT점,폴바셋
