지역,매장명,브랜드명
충청남도 태안군 태안읍 702-1,충남태안점,엔제리너스
충청남도 서산시 안견로 191,서산터미널점,엔제리너스
"경기도 시흥시 거북섬5길4 114,115,206,207호",시화거북섬,엔제리너스
인천광역시 연수구 컨벤시아대로 177 롯데마트,롯데마트송도점,엔제리너스
충청남도 홍성군 홍학로 87 엘가프라자,홍성내포엘가점,엔제리너스
"경기도 시흥시 서울대학로 59-69  1층 138,139호 ",배곧테크노벨,엔제리너스
인천광역시 중구 월미문화로 71 월미비치타운,인천월미,엔제리너스
경기도 화성시 남양시장로24번길 7-1,화성남양,엔제리너스
인천광역시 연수구 용담로 146,인천연수점,엔제리너스
인천광역시 미추홀구 연남로 35 롯데백화점 인천터미널점 B1 ,롯데백인천터미널점,엔제리너스
경기도 화성시 팔탄면 서해안고속도로 302 1층 엔제리너스 ,화성휴게소(상,엔제리너스
인천광역시 서구 북항로32번안길 50 모다아울렛 인천점,모다아울렛인천점,엔제리너스
인천광역시 계양구 작전동 448-7,홈플러스인천작전TO,엔제리너스
"경기도 부천시 원미구 길주로  300, 지하1층(중동, 롯데백화점) ",롯데백중동식품관,엔제리너스
"경기도 부천시 원미구 길주로 300(중동,외1필지 롯데백화점10층) ",롯데백중동식당가,엔제리너스
인천광역시 계양구 계양문화로 90 새롬프라자,인천계산점,엔제리너스
경기도 수원시 권선구 칠보로 134,호매실DI,엔제리너스
충청남도 보령시 해수욕장4길 28,대천점,엔제리너스
충청남도 보령시 주공로 18,보령동대점,엔제리너스
경기도 수원시 권선구 고색동 484-3,수원고색DI점,엔제리너스
충청남도 아산시 신정호길 33-48 엔제리너스 아산신정호수 ,아산신정호수,엔제리너스
경기도 안양시 만안구 안양로 122,만안구청,엔제리너스
경기도 수원시 권선구 서둔동 296-3,롯데몰수원점,엔제리너스
경기도 광명시 오리로 870,광명철산점,엔제리너스
경기도 김포시 통진읍 김포대로 2238 1F 엔제리너스 ,김포통진DI점,엔제리너스
경기도 수원시 권선구 세화로 수원롯데백화점 7F ,롯데백수원식당가점,엔제리너스
경기도 수원시 팔달구 매산로1가 18,수원AK몰점,엔제리너스
경기도 수원시 팔달구 덕영대로 924 AK플라자,수원역TO점,엔제리너스
서울특별시 강서구 하늘길 112 김포공항,김포공항1층점,엔제리너스
서울특별시 강서구 하늘길 112 김포국제공항 국내선청사 3층 출발장 ,빌라드샬롯카페(김포공항3층점,엔제리너스
경기도 안양시 동안구 관악대로 157 두성프라자,안양비산,엔제리너스
"서울특별시 강서구 하늘길 38 (김포공항, 롯데몰, 스카이시티)",롯데몰김포공항2호점,엔제리너스
경기도 안양시 동안구 시민대로 180 롯데백화점 7층 ,롯데백평촌식당가점,엔제리너스
서울특별시 금천구 벚꽃로  278 롯데아울렛가산점 1층 ,롯데아울렛가산T/O점,엔제리너스
서울특별시 금천구 벚꽃로 278 롯데아울렛가산점 3층 ,롯데아울렛가산점,엔제리너스
경기도 안양시 동안구 평촌대로223번길 56 조원빌딩,평촌범계점,엔제리너스
경기도 안양시 동안구 시민대로 230 평촌아크로타워,평촌아크로타워,엔제리너스
경기도 수원시 팔달구 경수대로466번길 3,수원인계D/I점,엔제리너스
