지역,매장명,브랜드명
충청남도 태안군 태안읍 동문2길 25 ,태안점,메가커피
충청남도 서산시 성연면 성연3로 45 테크노프라자101호 ,서산테크노밸리점,메가커피
충청남도 서산시 호수공원3로 56 (예천동) ,서산호수공원점,메가커피
충청남도 서산시 예천1로 24,서산예천점,메가커피
충청남도 서산시 고운로 275-5,서산동문점,메가커피
충청남도 서산시 율지18로 33,서산먹골점,메가커피
충청남도 당진시 북문로 6 메가커피(당진푸르지오점) ,당진푸르지오점,메가커피
충청남도 당진시 당진중앙2로 91 1층(읍내동) ,당진읍내점,메가커피
충청남도 당진시 밤절로 146 104호(수청동) ,당진터미널점,메가커피
경기도 안산시 단원구 대부황금로 1466 ,대부도점,메가커피
경기도 안산시 단원구 대부황금로 90 . ,대부도DI점,메가커피
충청남도 태안군 안면읍 응지마을길 34 ,안면도점,메가커피
충청남도 당진시 송산면 가곡로 156 ,당진현대제철점,메가커피
충청남도 당진시 송악읍 반촌로 70-16 . ,당진기지시점,메가커피
인천광역시 중구 공항로424번길 60 . ,영종합동청사점,메가커피
충청남도 당진시 신평면 거산3거리길 14 ,당진신평점,메가커피
경기도 화성시 송산면 사강로 193 메가커피(화성사강점) ,화성사강점,메가커피
인천광역시 중구 흰바위로 258 110호 ,영종운서중앙점,메가커피
경기도 시흥시 거북섬4길 14 109호 웨이브프라자(정왕동) ,시흥웨이브파크점,메가커피
인천광역시 중구 신도시남로142번길6 메가스타영종129호,영종운서역점,메가커피
인천광역시 중구 운서2로68번길 33 (운서동) 메가커피 ,영종넙디점,메가커피
인천광역시 중구 영종대로162번길 26 (운서동) 메가커피 ,영종삼성홈큐브점,메가커피
인천광역시 연수구  송도미래로 30 . ,송도스마트밸리점,메가커피
인천광역시 연수구 인천타워대로54번길 9 (송도동) 메가커피 ,지식정보단지역점,메가커피
"인천광역시 연수구 하모니로138번길 11 101동 119호(송도동, 송도캐슬센트럴파크) ",송도캐슬파크점,메가커피
충청남도 홍성군 홍북읍 청사로174번길 12 메가커피 ,내포중앙점,메가커피
"인천광역시 연수구 랜드마크로 113 (송도동, e편한세상 송도) 메가커피 ",송도e편한세상점,메가커피
인천광역시 연수구 송도문화로28번길 28 203동135호(송도동) ,송도글로벌캠퍼스점,메가커피
충청남도 홍성군 홍북읍 청사로 36 ,내포신도시점,메가커피
인천광역시 연수구 센트럴로 313 (송도동) ,송도씨워크점,메가커피
인천광역시 연수구 아트센터대로 131 . ,송도NC큐브점,메가커피
