브랜드명,shopName,address
폴바셋,용인 에버랜드점,경기도 용인시 처인구 포곡읍 에버랜드로 199
폴바셋,캐리비안베이점(시즌 종료),경기도 용인시 처인구 포곡읍 에버랜드로 199
폴바셋,AK플라자 분당점,경기도 성남시 분당구 황새울로360번길 42AK플라자 분당점 지하 1층
폴바셋,용인시청 DT점,경기도 용인시 처인구 삼가동 198-15
폴바셋,롯데백화점 분당점,경기도 성남시 분당구 황새울로 200번길 45 롯데백화점 분당점 1층
폴바셋,신세계백화점 경기점,경기도 용인시 수지구 포은대로 536 신세계백화점 경기점 7층
폴바셋,수원컨트리클럽점,경기도 용인시 기흥구 중부대로 495 수원컨트리클럽 골프연습장 지하 1층
폴바셋,스타필드시티 위례점,경기도 하남시 위례대로 200 4층 폴 바셋
폴바셋,롯데몰 수지점,경기도 용인시 수지구 성복동 23번지 롯데몰 수지점 B1층
폴바셋,스타필드 하남 1호점,경기도 하남시 미사대로750 스타필드 하남 지하 1층
폴바셋,스타필드 하남 2호점,경기도 하남시 미사대로750 스타필드 하남 3층
폴바셋,수서역점,서울시 강남구 밤고개로 1길 10 수서 현대벤처빌B2  (지하철 기준 수서역 3번출구 내 현대벤처빌 초입에 위치)
폴바셋,광교엘포트몰점,경기도 수원시 영통구 광교중앙로 145 광교엘포트아이파크 1층
폴바셋,일원역점,서울특별시 강남구 일원동 717 1층 폴 바셋
폴바셋,상일동점,서울시 강동구 상일로6길 21 `한국종합기술사옥 1층
폴바셋,롯데월드몰점,서울시 송파구 신천동 29 롯데월드몰 캐주얼동 5층
폴바셋,투고 바 롯데월드 어드벤처점,서울시 송파구 올림픽로 240
폴바셋,롯데백화점 잠실점,서울시 송파구 올림픽로 240 롯데백화점 잠실점 신관 지하 1층
폴바셋,롯데월드 아이스링크점,서울시 송파구 올림픽로 240 롯데월드아이스링크 지하 3층 
폴바셋,롯데백화점 동탄점,경기도 화성시 오산동 967-2419 롯데백화점 동탄점 지하 1층
폴바셋,수원 월드컵경기장점,경기도 수원시 팔달구 창룡대로 210번길 41 1층
폴바셋,현대백화점 천호점,서울 강동구 천호대로 1005 현대백화점 천호점 지하1층
폴바셋,대치역점(2월22일 오픈 예정),서울특별시 강남구 삼성로 155 대치퍼스빌딩1층
폴바셋,신세계 여주 프리미엄 아울렛점,경기도 여주시 상거동 460 신세계여주프리미엄아울렛점 200동 642호
폴바셋,롯데백화점 강남점,서울시 강남구 도곡로 401 롯데백화점 강남점 본관 1층 
폴바셋,NC타워 삼성점,서울시 강남구 테헤란로 509NC타워 1층
폴바셋,코엑스몰점,서울 강남구 영동대로 513 코엑스몰 P104호
폴바셋,GFC점,서울시 강남구 테헤란로 152강남파이낸스센터 지하 1층
폴바셋,북수원IC DT점,경기도 수원시 파장동 555-3
폴바셋,청담역점,서울시 강남구 삼성로 651 래미안라클래시 103호 
폴바셋,서초본점,서울 서초구 사임당로 157 1층 101호
폴바셋,AK플라자 수원점,경기 수원시 팔달구 덕영대로 924AK플라자 수원점 지하 1층
폴바셋,강남삼성타운점,서울시 서초구 서초동 1327-1홍우제2빌딩 1층
폴바셋,롯데몰 수원점,경기도 수원시 권선구 세화로 134 롯데몰수원점 2층 32호
폴바셋,강남구청역점,서울시 강남구 청담동 41-2금하빌딩 1층
폴바셋,청담점,서울시 강남구 도산대로 75길 22 
폴바셋,교보문고 강남점,"서울시 서초구 서초동 1303-22교보타워 지하 1,2층"
폴바셋,오산대 DT점,경기도 오산시 경기대로 464
폴바셋,교대역점,서울시 서초구 서초대로 287 석정빌딩 1층
폴바셋,현대모터스튜디오서울점,서울시 강남구 언주로 738 현대모터스튜디오 2층 
폴바셋,롯데마트 서초점,서울특별시 서초구 서초동 1501-1 롯데마트 B1
폴바셋,반포 쌍동빌딩점,서울특별시 서초구 고무래로 26 동관 1F 폴 바셋
폴바셋,압구정2호점,서울시 강남구 압구정로36길 8 1층
폴바셋,방배역점,서울시 서초구 방배동 924-20 디엠타워 1층
폴바셋,파미에스테이션점,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 FP102호
폴바셋,현대아울렛 남양주점,경기도 남양주시 다산순환로50 현대아울렛 128호
폴바셋,뉴코아 강남점,서울시 서초구 잠원로 69 뉴코아 신관 1층
폴바셋,신세계백화점 강남점,서울시 서초구 신반포로 176 신세계백화점 강남점 지하 1층
폴바셋,롯데백화점 평촌점,경기도 안양시 동안구 시민대로 180 지하 1층
폴바셋,한남 커피스테이션 / 로스트웍스,서울시 용산구 한남동 257-13
폴바셋,청량리역점,서울특별시 동대문구 왕산로 214 청량리역3층
폴바셋,용산아이파크몰점,서울시 용산구 한강대로 23길 55 아이파크몰 6층
폴바셋,을지로 파인에비뉴점,서울특별시 중구 을지로 100파인에비뉴 1층
폴바셋,신세계백화점 본점,서울시 중구 퇴계로77 신세계백화점 본점 신관 지하 1층
폴바셋,페럼타워점,서울시 중구 을지로 5길 19 페럼타워 1층
폴바셋,롯데백화점 본점,서울시 중구 남대문로 81 롯데백화점 본점 지하 1층
폴바셋,롯데백화점 관악점,서울특별시 관악구 봉천로 209 롯데백화점 관악점 1층
폴바셋,서소문점,서울특별시 중구 서소문로 124 씨티스퀘어 1층
폴바셋,종각역점,서울특별시 종로구 종로 47 SC제일은행본점 폴 바셋
폴바셋,코리아나호텔점,서울시 중구 세종대로 135 코리아나호텔 1층
폴바셋,한국경제신문사점,서울시 중구 청파로 463 한국경제신문사 1층
폴바셋,서대문역점,서울시 중구 서소문로9길 41-10
폴바셋,광화문점,서울시 종로구 종로 1길 50 더K트윈타워 1층
폴바셋,광화문 흥국생명점,서울특별시 종로구 새문안로 68 신문로사옥1층 일
폴바셋,AK플라자 광명점,경기도 광명시 양지로 17  AK플라자 광명점 D동 1층
폴바셋,여의도 IFC몰점,서울시 영등포구 여의도동 23 IFC몰 L2층
폴바셋,여의도점,서울시 영등포구 여의대로 66 하이투자 증권빌딩 B동 1층
폴바셋,구로 G타워점,서울특별시 구로구 디지털로26길 38 1층
폴바셋,구로지밸리몰점,서울시 구로구 구로동 188-25구로G밸리비즈플라자 1층 1호
폴바셋,롯데백화점 노원점,서울시 노원구 동일로 1414 롯데백화점 노원점 B1
폴바셋,여의도 국회대로점,서울시 영등포구 국회대로68길 17 해운빌딩 1층
폴바셋,여의도 현대카드 CAFE,"서울시 영등포구 의사당대로 3, 현대캐피탈 빌딩 1관 1층"
