지역,매장명,브랜드명
충청남도 태안군 태안읍 702-1,충남태안점,엔제리너스
충청남도 서산시 안견로 191,충남태안점,엔제리너스
"경기도 시흥시 거북섬5길4 114,115,206,207호",충남태안점,엔제리너스
인천광역시 연수구 컨벤시아대로 177 롯데마트,충남태안점,엔제리너스
충청남도 홍성군 홍학로 87 엘가프라자,충남태안점,엔제리너스
"경기도 시흥시 서울대학로 59-69  1층 138,139호 ",충남태안점,엔제리너스
인천광역시 중구 월미문화로 71 월미비치타운,충남태안점,엔제리너스
경기도 화성시 남양시장로24번길 7-1,충남태안점,엔제리너스
인천광역시 연수구 용담로 146,충남태안점,엔제리너스
인천광역시 미추홀구 연남로 35 롯데백화점 인천터미널점 B1 ,충남태안점,엔제리너스
경기도 화성시 팔탄면 서해안고속도로 302 1층 엔제리너스 ,충남태안점,엔제리너스
인천광역시 서구 북항로32번안길 50 모다아울렛 인천점,충남태안점,엔제리너스
인천광역시 계양구 작전동 448-7,충남태안점,엔제리너스
"경기도 부천시 원미구 길주로  300, 지하1층(중동, 롯데백화점) ",충남태안점,엔제리너스
"경기도 부천시 원미구 길주로 300(중동,외1필지 롯데백화점10층) ",충남태안점,엔제리너스
인천광역시 계양구 계양문화로 90 새롬프라자,충남태안점,엔제리너스
경기도 수원시 권선구 칠보로 134,충남태안점,엔제리너스
충청남도 보령시 해수욕장4길 28,충남태안점,엔제리너스
충청남도 보령시 주공로 18,충남태안점,엔제리너스
경기도 수원시 권선구 고색동 484-3,충남태안점,엔제리너스
충청남도 아산시 신정호길 33-48 엔제리너스 아산신정호수 ,충남태안점,엔제리너스
경기도 안양시 만안구 안양로 122,충남태안점,엔제리너스
경기도 수원시 권선구 서둔동 296-3,충남태안점,엔제리너스
경기도 광명시 오리로 870,충남태안점,엔제리너스
경기도 김포시 통진읍 김포대로 2238 1F 엔제리너스 ,충남태안점,엔제리너스
경기도 수원시 권선구 세화로 수원롯데백화점 7F ,충남태안점,엔제리너스
경기도 수원시 팔달구 매산로1가 18,충남태안점,엔제리너스
경기도 수원시 팔달구 덕영대로 924 AK플라자,충남태안점,엔제리너스
서울특별시 강서구 하늘길 112 김포공항,충남태안점,엔제리너스
서울특별시 강서구 하늘길 112 김포국제공항 국내선청사 3층 출발장 ,충남태안점,엔제리너스
경기도 안양시 동안구 관악대로 157 두성프라자,충남태안점,엔제리너스
"서울특별시 강서구 하늘길 38 (김포공항, 롯데몰, 스카이시티)",충남태안점,엔제리너스
경기도 안양시 동안구 시민대로 180 롯데백화점 7층 ,충남태안점,엔제리너스
서울특별시 금천구 벚꽃로 278 롯데아울렛가산점 3층 ,충남태안점,엔제리너스
서울특별시 금천구 벚꽃로  278 롯데아울렛가산점 1층 ,충남태안점,엔제리너스
경기도 안양시 동안구 평촌대로223번길 56 조원빌딩,충남태안점,엔제리너스
경기도 안양시 동안구 시민대로 230 평촌아크로타워,충남태안점,엔제리너스
경기도 수원시 팔달구 경수대로466번길 3,충남태안점,엔제리너스
경기도 수원시 팔달구 권광로134번길 44-11 수원호텔리츠 1층 ,충남태안점,엔제리너스
경기도 수원시 팔달구 권광로 187 대성프라자,충남태안점,엔제리너스
경기도 평택시 평택로 51 평택민자역사,충남태안점,엔제리너스
서울특별시 관악구 시흥대로 572,충남태안점,엔제리너스
경기도 수원시 팔달구 중부대로 130,충남태안점,엔제리너스
서울특별시 구로구 구로동 3-25 신도림테크노마트 B1,충남태안점,엔제리너스
서울특별시 관악구 호암로26길 40 모두랑하우스,충남태안점,엔제리너스
경기도 수원시 영통구 광교로 105 1층,충남태안점,엔제리너스
서울특별시 관악구 남부순환로 1612,충남태안점,엔제리너스
경기도 오산시 경기동로 168 롯데인재개발원,충남태안점,엔제리너스
"경기도 수원시 영통구 센트럴타운로 85 광교시원호반베르디움, 써밋플레이스 광교",충남태안점,엔제리너스
서울특별시 영등포구 영등포동 618-496,충남태안점,엔제리너스
서울특별시 영등포구 영중로 6 영등포키스톤타워,충남태안점,엔제리너스
경기도 평택시 비전2로 195 티에스원 주차빌딩,충남태안점,엔제리너스
경기도 수원시 영통구 이의동 1338,충남태안점,엔제리너스
서울특별시 영등포구 양평로21길 10 1층 ,충남태안점,엔제리너스
경기도 평택시 죽백동 771,충남태안점,엔제리너스
서울특별시 관악구 봉천동 856-6,충남태안점,엔제리너스
경기도 고양시 일산동구 백마로 195 엠시티타워&엠시티오피스텔,충남태안점,엔제리너스
경기도 용인시 기흥구 영덕동 1029,충남태안점,엔제리너스
충청남도 아산시 광장로 210 요진 와이시티,충남태안점,엔제리너스
서울특별시 동작구 노량진동 75-2번지 1~3번지 ,충남태안점,엔제리너스
서울특별시 영등포구 63로 36 리버타워,충남태안점,엔제리너스
서울특별시 마포구 상암동 1607,충남태안점,엔제리너스
서울특별시 동작구 동작대로25길 16 1층 엔제리너스 ,충남태안점,엔제리너스
서울특별시 마포구 양화로 140,충남태안점,엔제리너스
서울특별시 동작구 동작대로25길 16,충남태안점,엔제리너스
충청남도 천안시 서북구 두정로 172 준코,충남태안점,엔제리너스
경기도 용인시 기흥구 신갈동 62,충남태안점,엔제리너스
충청남도 천안시 동남구 수곡2길 5 아랫목숯불갈비,충남태안점,엔제리너스
서울특별시 마포구 백범로 29,충남태안점,엔제리너스
충청남도 천안시 서북구 봉주로 72-1,충남태안점,엔제리너스
경기도 고양시 덕양구 권율대로 420 ,충남태안점,엔제리너스
서울특별시 서대문구 대현동 60-8,충남태안점,엔제리너스
충청남도 천안시 동남구 먹거리10길 27,충남태안점,엔제리너스
서울특별시 서대문구 연희로 276 동욱빌딩,충남태안점,엔제리너스
서울특별시 용산구 청파로 378 한국철도공사,충남태안점,엔제리너스
