지역,매장명,현황,주소,브랜드명
충남 천안시 동남구,순천향대학교 천안병원 외래점,영업중,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교천안병원) 외래센터 2층",할리스
충남 천안시 동남구,순천향대학교 천안병원 본관점,영업중,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교천안병원) 본관 1층",할리스
충남 공주시,(천)이인휴게소점,영업중,충청남도 공주시 이인면 논산천안고속도로 32 (이인상행휴게소) .,할리스
충남 공주시,(논)탄천휴게소2호점,영업중,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,할리스
제주 제주시,이도점,영업중,"제주특별자치도 제주시 중앙로 302 (이도이동, 더스프링) .",할리스
서울 마포구,연트럴파크점,영업중,서울특별시 마포구 동교로 233 (연남동) .,할리스
서울 강남구,강남우리라운지점,영업중,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층,할리스
경기 수원시,수원영통점,영업중,경기도 수원시 영통구 청명남로 10 영통동 1000-1,할리스
경기 고양시 덕양구,원흥역점,영업중,경기 고양시 덕양구 권율대로 690 201동 108호~111호,할리스
서울 용산구,이태원역점,영업중,서울특별시 용산구 이태원로 180 2층~3층,할리스
서울 양천구,오목교역점,영업중,"서울특별시 양천구 오목로 344 (목동, 청학빌딩) 1층",할리스
대구 서구,롯데시네마프리미엄만경관점,영업중,대구 중구 국채보상로 547 MMC 만경관 4층 .,할리스
전남 순천시,순천신대점,영업중,전라남도 순천시 해룡면 향매로 67 신대리 1978,할리스
서울 금천구,시흥사거리점,영업중,서울특별시 금천구 시흥대로 225 시흥동 994-9,할리스
전북 전주시 완산구,전주효천점,영업중,"전라북도 전주시 완산구 쑥고개로 351, 1층 101호~102호 효자동2가 1326-4",할리스
제주 제주시,제주도두해안DT점,영업중,제주특별자치도 제주시 도두일동 1686 .,할리스
