,시도명,시군구명,법인,개인사업자,일반사업자,간이사업자,면세사업자,총계
0,서울특별시, 강남구,3775,13300,9388,1487,2425,17075
1,서울특별시, 강동구,412,6349,3517,1869,963,6761
2,서울특별시, 강북구,222,4215,2235,1466,514,4437
3,서울특별시, 강서구,815,9307,5630,2391,1286,10122
4,서울특별시, 관악구,313,6886,3617,2450,819,7199
5,서울특별시, 광진구,404,4975,2770,1503,702,5379
6,서울특별시, 구로구,910,6082,3601,1742,739,6992
7,서울특별시, 금천구,948,5149,3609,1084,456,6097
8,서울특별시, 노원구,264,5670,2674,1982,1014,5934
9,서울특별시, 도봉구,156,3648,1861,1269,518,3804
10,서울특별시, 동대문구,347,6221,3711,1750,760,6568
11,서울특별시, 동작구,244,4558,2282,1382,894,4802
12,서울특별시, 마포구,1184,8053,4809,2137,1107,9237
13,서울특별시, 서대문구,351,4296,2365,1286,645,4647
14,서울특별시, 서초구,2011,9170,6110,1313,1747,11181
15,서울특별시, 성동구,662,4816,2811,1269,736,5478
16,서울특별시, 성북구,255,5048,2480,1761,807,5303
17,서울특별시, 송파구,1196,11557,6883,2460,2214,12753
18,서울특별시, 양천구,347,5412,2854,1566,992,5759
19,서울특별시, 영등포구,2383,8754,6092,1641,1021,11137
20,서울특별시, 용산구,575,4559,2827,1074,658,5134
21,서울특별시, 은평구,299,5731,2837,2017,877,6030
22,서울특별시, 종로구,727,5452,4021,1001,430,6179
23,서울특별시, 중구,1205,8649,6833,1136,680,9854
24,서울특별시, 중랑구,223,5301,2764,1946,591,5524
