내국인생활인구수,단기체류외국인인구수,동일자치구행정동간이동인구수,서울외유입인구수,시군구명,야간인구수(19~08),일최대이동인구수,일최대인구수,일최소인구수,자치구간이동인구수,장기체류외국인인구수,주간인구수(09~18),총생활인구수
10493726.2498,142220.7039,2028706.1422,1519684.7924,서울시,10812841.1073,6162669.3091,11398910.6591,10675427.7562,2614278.3745,396219.529,11339222.0083,11032166.4827
295294.3694,9800.4689,31414.5803,70871.074,종로구,264828.2152,275091.7708,435343.6902,234664.6776,172806.1165,19204.5016,407558.9145,324299.3399
294415.2393,29914.4163,30413.259,95012.2028,중구,261695.2857,342964.8113,494275.2962,220068.7299,217539.3495,20494.3788,461204.2825,344824.0344
286396.9814,6314.3007,43812.4067,53212.2646,용산구,290474.1144,193443.0714,339236.9988,276543.0916,96418.4001,15853.6815,333892.1526,308564.9636
350260.7835,3722.9048,58481.7459,44619.6995,성동구,356446.0441,222538.1258,395387.4062,344302.5319,119436.6804,17087.5947,391546.6173,371071.2829
357632.2915,3790.8945,75815.5237,33295.0646,광진구,396901.0245,175551.0973,401763.0131,356817.8435,66440.509,22133.8828,364875.5309,383557.0688
354164.0047,3472.4257,72381.0922,32135.7618,동대문구,388889.0766,187387.1412,396996.0258,372984.5888,82870.2872,28240.6499,381660.2854,385877.0802
340284.7357,729.5944,84122.6041,23590.976,중랑구,370970.0615,144291.3873,385337.3944,303140.8802,36577.8072,5555.0565,312408.4416,346569.3865
423012.6507,2613.2166,82938.07,23829.2408,성북구,460847.3084,187092.7446,470990.2199,411441.7258,80325.4338,17142.3691,417457.5355,442768.2363
278697.2391,637.9692,112453.5423,11521.1668,강북구,300873.1338,168958.9615,311445.6396,255025.0313,44984.2524,5180.5596,261615.4557,284515.7679
260883.925,502.3798,63689.0384,16199.0623,도봉구,280043.9137,116363.9115,288881.4391,234322.1344,36475.8108,2613.0349,241536.9363,263999.3398
489291.4747,779.8233,106146.5508,35779.2297,노원구,517798.6217,198607.5599,531107.2722,458316.9452,56681.7794,5617.2979,464734.5596,495688.5958
415145.6213,1252.6856,94117.7318,27205.2312,은평구,456292.4034,153502.7847,474459.6029,360885.4604,32179.8217,5327.3387,373332.1849,421725.6457
373329.2887,9500.1945,65567.1125,50050.3426,서대문구,393782.6193,234199.7367,435522.7554,388757.2342,118582.2816,23414.7106,423690.398,406244.1938
452830.7158,13181.5526,77932.7954,74872.7524,마포구,466185.4634,291773.4053,528617.2399,445815.9775,138967.8575,20338.4611,514582.1019,486350.7294
357754.7415,794.0051,70380.739,24245.8176,양천구,383779.9773,148633.7432,392909.1954,322980.0031,54007.1866,4555.1719,334157.4363,363103.9186
538798.4173,6811.0392,111465.2505,72095.7959,강서구,565034.9583,256488.8438,575818.6882,534283.6833,72927.7974,8753.266,539421.5923,554362.7225
390119.5178,4920.3987,77620.7697,67899.6136,구로구,428867.5969,218178.0572,433304.7679,412840.0315,72657.6739,29652.9836,418848.3249,424692.9002
227427.8641,1781.2657,42087.4012,61918.6625,금천구,229485.8239,161469.9613,271854.9805,222100.2289,57463.8976,16130.4151,267534.7544,245339.545
485222.6954,7980.8677,91979.932,102904.6381,영등포구,485465.8153,373420.0818,606052.3258,456389.0717,178535.5117,37896.3593,594987.6722,531099.9223
383808.9401,1760.0602,67659.5447,31971.7365,동작구,422336.3982,172149.5693,431937.3642,366945.2005,72518.2881,16560.3484,373839.4792,402129.3486
456732.4534,3029.1273,98162.4211,32301.5076,관악구,517461.6236,190750.7947,538684.1728,414004.9739,60286.866,19543.2435,425885.305,479304.8242
585647.9072,6137.5939,75908.5327,148173.4867,서초구,528829.9611,445688.7436,732316.5447,476055.3429,221606.7242,13128.9561,711432.7517,604914.4572
865305.1145,17521.7457,129495.9615,227113.4177,강남구,762813.0247,715559.327,1145597.6215,690313.2064,358949.9478,20655.2731,1100418.8852,903482.1333
735459.9304,4072.4517,150088.0041,115415.5743,송파구,750853.5924,387243.2714,768612.2385,743147.4928,121739.693,12662.9282,754073.7154,752195.3103
495809.3473,1199.322,144580.9886,47230.4753,강동구,531885.0499,238187.0837,546484.8863,458742.0969,46375.6198,8477.0662,468526.6953,505485.7355
