영업상태명,지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,,동화상가,그 밖의 대규모점포,200543.7549,451888.0403
폐업,서울특별시 양천구 신정동 1297,홈플러스 익스프레스 신정4점,구분없음,188554.9402,446701.7451
영업/정상,서울특별시 강동구 길동 384번지 1호,롯데쇼핑㈜롯데슈퍼길동점,구분없음,211983.1816,448483.8891
영업/정상,서울특별시 노원구 상계동 173번지,상계역전종합상가,쇼핑센터,206280.7899,462002.499
영업/정상,서울특별시 구로구 구로동 573,이랜드리테일 NC구로점,백화점,189570.3609,444336.0513
영업/정상,서울특별시 영등포구 영등포동 618번지 496호,롯데백화점 영등포점,백화점,191741.3458,445970.3076
영업/정상,서울특별시 강북구 미아동 1359번지,롯데쇼핑(주) 롯데마트 삼양점,복합쇼핑몰,201494.6273,458136.3423
영업/정상,서울특별시 용산구 한강로3가 1-1 나진상가,나진전자월드상가,전문점,196697.0311,447931.1083
영업/정상,서울특별시 용산구 한강로3가 1번지 1호 나진상가,나진산업 주식회사,전문점,196697.0311,447931.1083
영업/정상,서울특별시 종로구 무악동 82 무악현대아파트,GS THE FRESH 무악현대점,대형마트,196467.9751,452566.134
영업/정상,서울특별시 성동구 성수동2가 335번지,뚝도시장,시장,204775.366,448395.5878
영업/정상,서울특별시 동대문구 용두동 39-1,청량리역 한양수자인 그라시엘 판매시설,그 밖의 대규모점포,203728.1321,452778.8933
영업/정상,서울특별시 동대문구 제기동 1019 경동시장,경동시장,시장,203403.0195,452985.7254
영업/정상,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,노량진 드림스퀘어,그 밖의 대규모점포,194571.1524,445790.5499
영업/정상,서울특별시 용산구 이촌동 302-52 LG프라자,GS THE FRESH 용산이촌점,구분없음,197221.4393,446524.5084
영업/정상,서울특별시 서대문구 남가좌동 286-1 DMC금호리첸시아,이마트에브리데이 남가좌점,구분없음,192482.4165,452143.4915
영업/정상,서울특별시 광진구 구의동 236-53 광진 더프레236,GS THE FRESH 광진구의점,구분없음,207400.6081,448930.6832
영업/정상,서울특별시 강남구 신사동 638-6,GS THE FRESH 압구정점,구분없음,203069.4412,447391.1304
영업/정상,서울특별시 영등포구 당산동2가 45-5,포레나당산동역세권청년주택 상업시설,그 밖의 대규모점포,190673.4089,446684.6501
영업/정상,서울특별시 서대문구 남가좌동 50-3 명지대학교,이마트에브리데이 명지대점,구분없음,193139.5239,453106.0026
영업/정상,서울특별시 서초구 반포동 19번지 3호,신세계백화점 강남점,백화점,200250.4478,444683.2205
영업/정상,서울특별시 노원구 공릉동 238번지 53호,롯데쇼핑(주) 롯데슈퍼공릉점,구분없음,206952.4441,457814.5296
영업/정상,서울특별시 노원구 상계동 713호,롯데백화점 노원점,백화점,205320.2848,461419.8818
영업/정상,,누죤,그 밖의 대규모점포,201092.2812,451637.9327
영업/정상,서울특별시 성북구 길음동 508-16,GS THE FRESH 성북클라시아점,구분없음,202328.5425,456302.2964
폐업,서울특별시 광진구 구의1동 236번지 53호,홈플러스(주)익스프레스 구의점,구분없음,207400.6081,448930.6832
영업/정상,서울특별시 광진구 중곡1동 229번지 5호,(주)이마트에브리데이 중곡동점,구분없음,207114.4989,451296.0494
폐업,서울특별시 광진구 중곡2동 41번지 1호,롯데쇼핑(주)롯데슈퍼 중곡점,구분없음,207235.5812,451072.124
폐업,서울특별시 은평구 갈현동 467번지 1호,역촌중앙시장,그 밖의 대규모점포,192534.6569,456773.7149
영업/정상,서울특별시 노원구 중계2.3동 509번지 2001아울렛,이천일아울렛 중계점,복합쇼핑몰,205931.0533,459884.1972
영업/정상,서울특별시 강서구 등촌동 73-1 금부빌딩,(주)이마트에브리데이 가양역점,구분없음,186966.0362,451047.2873
