시군구별,20대,30대,40대,50대
종로구,28355,20202,20255,24078
중구,21904,21338,17345,19932
용산구,33794,39641,33175,35028
성동구,46175,46031,41386,44639
광진구,67196,55981,49543,54593
동대문구,68768,50296,48019,50867
중랑구,52892,57102,53747,64801
성북구,76884,58537,65332,67397
강북구,40258,35733,41200,49365
도봉구,39596,37277,43376,53488
노원구,70515,60298,77484,84067
은평구,61841,64584,70234,74478
서대문구,59369,45162,44211,47337
마포구,64381,62918,57190,53210
양천구,52420,52724,72553,73799
강서구,80616,95322,85576,81579
구로구,53284,65982,64444,71323
금천구,37010,40578,33854,44738
영등포구,57899,74076,59064,65660
동작구,70372,60307,55301,58202
관악구,113519,87776,63934,68093
서초구,48033,54283,69012,59847
강남구,64195,72076,90686,78553
송파구,84838,101490,102730,99509
강동구,56278,67672,71983,69540
