"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20221201","11000","서울시","11032166.48270","10493726.24980","396219.52900","142220.70390","11398910.65910","10675427.75620","11339222.00830","10812841.10730","6162669.30910","1519684.79240","2028706.14220","2614278.37450"
"20221201","11110","종로구","324299.33990","295294.36940","19204.50160","9800.46890","435343.69020","234664.67760","407558.91450","264828.21520","275091.77080","70871.07400","31414.58030","172806.11650"
"20221201","11140","중구","344824.03440","294415.23930","20494.37880","29914.41630","494275.29620","220068.72990","461204.28250","261695.28570","342964.81130","95012.20280","30413.25900","217539.34950"
"20221201","11170","용산구","308564.96360","286396.98140","15853.68150","6314.30070","339236.99880","276543.09160","333892.15260","290474.11440","193443.07140","53212.26460","43812.40670","96418.40010"
"20221201","11200","성동구","371071.28290","350260.78350","17087.59470","3722.90480","395387.40620","344302.53190","391546.61730","356446.04410","222538.12580","44619.69950","58481.74590","119436.68040"
"20221201","11215","광진구","383557.06880","357632.29150","22133.88280","3790.89450","401763.01310","356817.84350","364875.53090","396901.02450","175551.09730","33295.06460","75815.52370","66440.50900"
"20221201","11230","동대문구","385877.08020","354164.00470","28240.64990","3472.42570","396996.02580","372984.58880","381660.28540","388889.07660","187387.14120","32135.76180","72381.09220","82870.28720"
"20221201","11260","중랑구","346569.38650","340284.73570","5555.05650","729.59440","385337.39440","303140.88020","312408.44160","370970.06150","144291.38730","23590.97600","84122.60410","36577.80720"
"20221201","11290","성북구","442768.23630","423012.65070","17142.36910","2613.21660","470990.21990","411441.72580","417457.53550","460847.30840","187092.74460","23829.24080","82938.07000","80325.43380"
"20221201","11305","강북구","284515.76790","278697.23910","5180.55960","637.96920","311445.63960","255025.03130","261615.45570","300873.13380","168958.96150","11521.16680","112453.54230","44984.25240"
"20221201","11320","도봉구","263999.33980","260883.92500","2613.03490","502.37980","288881.43910","234322.13440","241536.93630","280043.91370","116363.91150","16199.06230","63689.03840","36475.81080"
"20221201","11350","노원구","495688.59580","489291.47470","5617.29790","779.82330","531107.27220","458316.94520","464734.55960","517798.62170","198607.55990","35779.22970","106146.55080","56681.77940"
"20221201","11380","은평구","421725.64570","415145.62130","5327.33870","1252.68560","474459.60290","360885.46040","373332.18490","456292.40340","153502.78470","27205.23120","94117.73180","32179.82170"
"20221201","11410","서대문구","406244.19380","373329.28870","23414.71060","9500.19450","435522.75540","388757.23420","423690.39800","393782.61930","234199.73670","50050.34260","65567.11250","118582.28160"
"20221201","11440","마포구","486350.72940","452830.71580","20338.46110","13181.55260","528617.23990","445815.97750","514582.10190","466185.46340","291773.40530","74872.75240","77932.79540","138967.85750"
"20221201","11470","양천구","363103.91860","357754.74150","4555.17190","794.00510","392909.19540","322980.00310","334157.43630","383779.97730","148633.74320","24245.81760","70380.73900","54007.18660"
"20221201","11500","강서구","554362.72250","538798.41730","8753.26600","6811.03920","575818.68820","534283.68330","539421.59230","565034.95830","256488.84380","72095.79590","111465.25050","72927.79740"
"20221201","11530","구로구","424692.90020","390119.51780","29652.98360","4920.39870","433304.76790","412840.03150","418848.32490","428867.59690","218178.05720","67899.61360","77620.76970","72657.67390"
"20221201","11545","금천구","245339.54500","227427.86410","16130.41510","1781.26570","271854.98050","222100.22890","267534.75440","229485.82390","161469.96130","61918.66250","42087.40120","57463.89760"
"20221201","11560","영등포구","531099.92230","485222.69540","37896.35930","7980.86770","606052.32580","456389.07170","594987.67220","485465.81530","373420.08180","102904.63810","91979.93200","178535.51170"
"20221201","11590","동작구","402129.34860","383808.94010","16560.34840","1760.06020","431937.36420","366945.20050","373839.47920","422336.39820","172149.56930","31971.73650","67659.54470","72518.28810"
"20221201","11620","관악구","479304.82420","456732.45340","19543.24350","3029.12730","538684.17280","414004.97390","425885.30500","517461.62360","190750.79470","32301.50760","98162.42110","60286.86600"
"20221201","11650","서초구","604914.45720","585647.90720","13128.95610","6137.59390","732316.54470","476055.34290","711432.75170","528829.96110","445688.74360","148173.48670","75908.53270","221606.72420"
"20221201","11680","강남구","903482.13330","865305.11450","20655.27310","17521.74570","1145597.62150","690313.20640","1100418.88520","762813.02470","715559.32700","227113.41770","129495.96150","358949.94780"
"20221201","11710","송파구","752195.31030","735459.93040","12662.92820","4072.45170","768612.23850","743147.49280","754073.71540","750853.59240","387243.27140","115415.57430","150088.00410","121739.69300"
"20221201","11740","강동구","505485.73550","495809.34730","8477.06620","1199.32200","546484.88630","458742.09690","468526.69530","531885.04990","238187.08370","47230.47530","144580.98860","46375.61980"
