,시도명,시군구명,주민등록인구수
0,서울특별시,종로구,152211
1,서울특별시,중구,130785
2,서울특별시,용산구,233284
3,서울특별시,성동구,288234
4,서울특별시,광진구,351252
5,서울특별시,동대문구,353601
6,서울특별시,중랑구,390140
7,서울특별시,성북구,441984
8,서울특별시,강북구,297702
9,서울특별시,도봉구,313989
10,서울특별시,노원구,508014
11,서울특별시,은평구,470602
12,서울특별시,서대문구,319554
13,서울특별시,마포구,375585
14,서울특별시,양천구,444010
15,서울특별시,강서구,574638
16,서울특별시,구로구,418418
17,서울특별시,금천구,242818
18,서울특별시,영등포구,398085
19,서울특별시,동작구,390432
20,서울특별시,관악구,501226
21,서울특별시,서초구,408451
22,서울특별시,강남구,534103
23,서울특별시,송파구,664514
24,서울특별시,강동구,464037
