매장명,지역,브랜드명
철원동송점,강원도 철원군 동송읍 금학로 242 (새마을금고) 금학로 242,투썸플레이스
수지동천역점,"경기도 용인시 수지구 신수로 767 (동천동,분당수지U-TOWER) 에이동 1층 에이 104",투썸플레이스
광주오치점,광주광역시 북구 설죽로  328 (오치동),투썸플레이스
철원주상절리점,강원 철원군 갈말읍 군탄리 1226-1,투썸플레이스
별내별가람역점,"경기도 남양주시 덕송1로55번길 22 (별내동) 1층,2층",투썸플레이스
용산트윈시티점,"서울특별시 용산구 한강대로 366 (동자동,트윈시티남산) 1층",투썸플레이스
부천중동역점,경기도 부천시 부일로 322 (중동) 2층,투썸플레이스
인천원당점,인천 서구 원당대로 866,투썸플레이스
가평점,경기 가평군 가평읍 오리나무길 2-1,투썸플레이스
북위례힐스테이트점,경기도 하남시 위례학암로14번길 18 (학암동) 1~2층,투썸플레이스
분당오리역점,"경기도 성남시 분당구 구미로 8 (구미동) 분당M타워,102호",투썸플레이스
부천상동행복점,"경기도 부천시 상동로 75 (상동,한빛프라자) 103호, 201호",투썸플레이스
일산벨라시타점,경기 고양시 일산동구 강송로 33,투썸플레이스
안동옥동점,경북 안동시 옥서로 49,투썸플레이스
김포장기점,경기 김포시 김포한강1로 77-4 1층,투썸플레이스
청주동남점,충청북도 청주시 상당구 중고개로125번길 19 (용암동) 투썸 청주동남점,투썸플레이스
대전법동점,대전 대덕구 동춘당로 187,투썸플레이스
서충주신도시점,충북 충주시 중앙탑면 원앙길 8-14,투썸플레이스
익산중앙점,전라북도 익산시 중앙로 28-1 (중앙동3가),투썸플레이스
신동테크트리점,"경기도 수원시 영통구 신원로 55 (신동, 테크트리영통지식산업센터) 1층 투썸플레이스",투썸플레이스
대구강정보디아크점,대구광역시 달성군 다사읍 강정본길 57 (강정보통합관리센터) 3층,투썸플레이스
제주모슬포점,제주 서귀포시 대정읍 최남단해안로 44,투썸플레이스
종로3가역점,서울 종로구 수표로 106,투썸플레이스
보통리점,경기도 화성시 정남면 보통내길 140 1~2층,투썸플레이스
순화타워점,"서울특별시 중구 세종대로7길 43 (순화동, 순화타워) 43 순화타워 1층",투썸플레이스
평택법원점,경기도 평택시 평남로 1010 (동삭동) 1층,투썸플레이스
장유율하동뫼산점,경상남도 김해시 율하숲길 7,투썸플레이스
인천스퀘어원점,"인천광역시 연수구 청능대로 210 (동춘동, 스퀘어원) 3층",투썸플레이스
광주신가점,광주 광산구 신가동 1036-6번지,투썸플레이스
북대전IC점,대전 유성구 관평동 579번지,투썸플레이스
여의도광복회관점,서울특별시 영등포구 국회대로62길 15 (여의도동) 광복회관 1층,투썸플레이스
판교만도점,경기도 성남시 분당구 판교로255번길 21 (삼평동) 1층,투썸플레이스
거제고현점,경상남도 거제시 거제중앙로29길 6 (고현동) 1층 투썸플레이스 거제고현점,투썸플레이스
광주하남3지구점,"광주광역시 광산구 하남대로 33 (하남동, 씨앤디빌딩) 1-2층",투썸플레이스
포항상도자이점,경상북도 포항시 남구 상도동 700,투썸플레이스
남양주덕소점,경기도 남양주시 와부읍 월문천로 115 1층,투썸플레이스
부산용호메트로시티점,부산 남구 용호로 54번길 10,투썸플레이스
제천CGV점,충청북도 제천시 장평천로 27-13 13호~19호,투썸플레이스
송파장지역점,"서울 송파구 충민로 66, B1",투썸플레이스
인천도화힐스테이트점,"인천광역시 미추홀구 염전로168번길 15 (도화동) 110,111,112,113,114호",투썸플레이스
과천힐스테이트중앙점,경기 과천시 중앙동 38,투썸플레이스
부산연산점,"부산광역시 연제구 반송로 30 (연산동,석산빌딩)",투썸플레이스
하양광장메디컬점,경상북도 경산시 하양읍 서사도리9로 27 107호(광장메디컬타워),투썸플레이스
광주대점,광주광역시 남구 효덕로   298 (진월동),투썸플레이스
중곡대원외고점,서울 광진구 중곡동 28-6,투썸플레이스
문경영신강변점,경상북도 문경시 영신로 102 (영신동) 1~2층,투썸플레이스
광주수완대로DT점,광주 광산구 도천동 275-10,투썸플레이스
강진아트홀점,전라남도 강진군 강진읍 보은로2길  14,투썸플레이스
인천송도센트럴파크점,인천 연수구 센트럴로 194,투썸플레이스
삼척조각공원점,"강원도 삼척시 새천년도로 333 (교동, 씨다이닝) 1~2층",투썸플레이스
청계산입구역점,"서울특별시 서초구 청계산로 201(신원동,서초포레지움) 103호~105호",투썸플레이스
아산시청문화공원점,충남 아산시 온천동 1200번지,투썸플레이스
부산온천SK점,"부산광역시 동래구 온천장로 65번길 9 (동래3차 SK뷰 상가) 112,113,114,115",투썸플레이스
안산사동점,경기 안산시 상록구 사동 1431-10,투썸플레이스
제주대병원점,"제주특별자치도 제주시 아란13길 10 (아라일동) 1,2층",투썸플레이스
대구매천시장역점,"대구광역시 북구 매전로4길 32 (매천동, 한신더휴웨스턴팰리스) 405동 509,510,511호",투썸플레이스
수원성균관대점,"경기 수원시 장안구 율전동 408-8 1층,2층",투썸플레이스
가산로데오점,서울 금천구 벚꽃로 254,투썸플레이스
진천터미널점,충북 진천군 진천읍 중앙북1길 3,투썸플레이스
진주경상대점,경상남도 진주시 진주대로 504 (가좌동),투썸플레이스
대구월광수변공원점,대구광역시 달서구 월곡로 14 (도원동) 1층 전체,투썸플레이스
김포구래역점,경기도 김포시 김포한강7로 93,투썸플레이스
미아테라스파크점,서울 강북구 삼양로 27길 43 위브테라스파크,투썸플레이스
대구달성군청점,"대구광역시 달성군 논공읍 비슬로 1880 1,2층",투썸플레이스
두타몰점,"서울특별시 중구 장충단로 275 (을지로6가, 두산타워빌딩) 두타몰 4층",투썸플레이스
화성봉담2지구점,"경기도 화성시 봉담읍 상리중심상가길 6-4 107호, 204호",투썸플레이스
서대전역점,대전광역시 중구 오류로 13-10 (오류동) 서대전역코아루써밋 102호~105호,투썸플레이스
청도산성강변점,경상북도 청도군 화양읍 산성강변길 472 투썸플레이스,투썸플레이스
산본학원가점,경기 군포시 산본동 1099-1,투썸플레이스
대전오룡역점,대전광역시 중구 계룡로 814 (오류동) 투썸플레이스,투썸플레이스
인천송현점,인천광역시 동구 수문통로 47 (송현동) 1층,투썸플레이스
안산선부점,경기 안산시 단원구 선부광장1로 84,투썸플레이스
고덕점,서울 강동구 명일동 48-16 한양빌딩,투썸플레이스
산본역점,경기 군포시 산본로323번길 27,투썸플레이스
속초서희더베이점,강원도 속초시 동해대로 3958 (조양동) 1층~2층,투썸플레이스
전주삼천점,전북 전주시 완산구 강변로 68,투썸플레이스
광주매곡점,"광주광역시 북구 하백로6번길 12 (매곡동,대광로제비앙) 1층",투썸플레이스
국군수도병원점,"경기 성남시 분당구 율동 222, 국군수도병원 ",투썸플레이스
이태원점,서울특별시 용산구 이태원로 167 (이태원동) ,투썸플레이스
용답역점,서울시 성동구 용답길 85,투썸플레이스
담양담빛호수점,전라남도 담양군 담양읍 담빛리 574번지,투썸플레이스
고흥터미널점,전라남도 고흥군 고흥읍 터미널길 13 106~107호,투썸플레이스
대구신서이노밸리점,대구 동구 경안로 847,투썸플레이스
방이한양건설점,서울특별시 송파구 백제고분로50길 7 한양건설,투썸플레이스
시흥신천점,"경기도 시흥시 신천로 94 (신천동) B동 112호, 113호",투썸플레이스
군산미룡점,전북 군산시 미룡동 868-1번지,투썸플레이스
신갈오거리점,경기도 용인시 기흥구 신갈로 60 (신갈동) ,투썸플레이스
대구상동팔래스점,"대구광역시 수성구 수성로 128 (상동) 1,2층",투썸플레이스
발산역사거리점,서울특별시 강서구 공항대로 290 (내발산동) 신우빌딩 B동 1층 105호,투썸플레이스
고양관산점,경기도 고양시 덕양구 통일로 757 (관산동) 2층,투썸플레이스
인천서창점,인천 남동구 서창남순환로216번길 30,투썸플레이스
대전신성점,대전 유성구 가정로 93 (신성동),투썸플레이스
인천산곡역점,"인천광역시 부평구 길주로364번길 9 (산곡동, 부평IPARK) 101동 119, 120, 121호",투썸플레이스
대전월평본점,대전 서구 월평중로 22,투썸플레이스
평택센트럴자이점,경기도 평택시 동삭로 370-16 (동삭동) 1~2층,투썸플레이스
가산대륭18차점,서울 금천구 가산디지털1로 19,투썸플레이스
여주월송점,경기도 여주시 월평로 61-6 1층1 (월송동) 투썸플레이스 ,투썸플레이스
서대문홍은점,서울특별시 서대문구 가좌로 143  1층(홍은동),투썸플레이스
순천순광로DT점,"전라남도 순천시 순광로 188 (조례동, 현대스틸하우징)",투썸플레이스
공주동학사점,충남 공주시 반포면 학봉리 716-1,투썸플레이스
여수신기점,전남 여수시 신기동 11번지 101~102호,투썸플레이스
울산유곡점,울산 중구 종가2길 2-11,투썸플레이스
포이DI점,서울 서초구 양재동 263-5,투썸플레이스
공덕풍림빌딩점,"서울특별시 마포구 마포대로 127 (공덕동,풍림브이아이피텔) 1층",투썸플레이스
수원매교역점,경기 수원시 권선구 세류동 97-63 1층,투썸플레이스
춘천퇴계점,"강원 춘천시 안마산로 199,1층 105호(퇴계동)",투썸플레이스
군위서부네거리점,경상북도 군위군 군위읍 도군로 2708 1층,투썸플레이스
거진농협현내점,강원도 고성군 현내면 한나루로 131 (거진농협현내지점) 2층 투썸플레이스,투썸플레이스
돌곶이역점,서울특별시 성북구 화랑로 237 (장위동) 1층,투썸플레이스
대흥역점,"서울특별시 마포구 백범로 116 (염리동, 동무마포타워) 1층",투썸플레이스
대전도룡점,대전 유성구 도룡동 394-1,투썸플레이스
춘천강원대학교두리관점,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교) 두리관 1층",투썸플레이스
별내송산로점,경기도 남양주시 송산로 254 (별내동) 1층2층,투썸플레이스
나주호수공원점,전남 나주시 중야2길 14 (빛가람동),투썸플레이스
대구침산점,대구 북구 옥산로17길 47,투썸플레이스
홍천연봉점,강원도 홍천군 홍천읍 연봉로6길 2 홍천농협,투썸플레이스
수원천천점,경기 수원시 장안구 만석로 19번길 29,투썸플레이스
남양주별내역점,경기도 남양주시 별내1로 6 (별내동) 1층,투썸플레이스
철원와수점,강원 철원군 와수리 1153-14,투썸플레이스
포천고모호수점,경기도 포천시 소흘읍 죽엽산로 438 고모리 663-2,투썸플레이스
대구원대오거리점,대구광역시 북구 옥산로 1 (노원동1가) 1층,투썸플레이스
강서화곡로점,"서울특별시 강서구 화곡로 228 (화곡동, 대원빌딩) 2층",투썸플레이스
