거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"   110,500",중개거래,1993,2022,장안로51번길,00011,00000,41135,01,0,4340382, 분당동,0066,0000,41135,10100,1,장안타운(건영),1,12,41135-32,85,경기 성남분당구,66,41135,5, , 
"    98,500",중개거래,1994,2022,수내로,00181,00000,41135,01,0,3180039, 분당동,0038,0000,41135,10100,1,샛별마을(우방),1,21,41135-21,57.28,경기 성남분당구,38,41135,12, , 
"   136,000",중개거래,1993,2022,내정로174번길,00042,00000,41135,01,0,4340037, 수내동,0052,0000,41135,10200,1,파크타운(서안),1,3,41135-77,84.78,경기 성남분당구,52,41135,7, , 
"    63,000",직거래,1992,2022,내정로165번길,00035,00000,41135,01,0,4340034, 수내동,0024,0000,41135,10200,1,양지마을(5단지)(한양501-514),1,5,41135-73,42.56, ,24,41135,5, , 
"    92,000",중개거래,1992,2022,수내로,00206,00000,41135,02,0,3180039, 수내동,0073,0000,41135,10200,1,푸른마을(신성),1,5,41135-79,59.78,경기 성남분당구,73,41135,1, , 
"   165,000",중개거래,1992,2022,수내로,00174,00000,41135,02,0,3180039, 수내동,0071,0000,41135,10200,1,푸른마을(벽산),1,10,41135-78,131.4,경기 성남분당구,71,41135,3, , 
"    57,500",중개거래,1992,2022,내정로165번길,00035,00000,41135,01,0,4340034, 수내동,0024,0000,41135,10200,1,양지마을(5단지)(한양501-514),1,13,41135-73,28.16,경기 성남분당구,24,41135,2, , 
"   200,000",중개거래,1993,2022,내정로166번길,00042,00000,41135,01,0,4340035, 수내동,0054,0000,41135,10200,1,파크타운(삼익),1,15,41135-76,131.49,"경기 성남분당구, 서울 서초구",54,41135,8, , 
"   194,500",중개거래,1992,2022,수내로,00074,00000,41135,02,0,3180039, 수내동,0034,0000,41135,10200,1,양지마을(금호1),1,18,41135-71,164.25,경기 성남분당구,34,41135,6, , 
"   130,500",중개거래,1992,2022,수내로192번길,00025,00000,41135,01,0,4340284, 수내동,0073,0000,41135,10200,1,푸른마을(신성),1,21,41135-79,84.72,경기 성남분당구,73,41135,15, , 
"    82,500",중개거래,1992,2022,내정로165번길,00035,00000,41135,01,0,4340034, 수내동,0024,0000,41135,10200,1,양지마을(5단지)(한양501-514),1,27,41135-73,42.56,경기 성남분당구,24,41135,2, , 
"   188,000",중개거래,2004,2022,정자일로,00248,00000,41135,01,0,3180021, 정자동,0006,0000,41135,10300,1,분당파크뷰,1,6,41135-250,84.99,"경기 성남분당구, 서울 서초구",6,41135,20, , 
"   180,000",중개거래,2004,2022,정자일로,00220,00000,41135,01,0,3180021, 정자동,0014,0001,41135,10300,1,동양정자파라곤(2단지),1,6,41135-266,166.38,경기 성남분당구,14-1,41135,7, , 
"    73,000",중개거래,1995,2022,불정로,00179,00000,41135,03,0,3180030, 정자동,0198,0000,41135,10300,1,정든마을(2단지)(동아),1,10,41135-62,48.84,경기 성남분당구,198,41135,4,22.01.28,O
"    73,000",중개거래,1995,2022,불정로,00179,00000,41135,03,0,3180030, 정자동,0198,0000,41135,10300,1,정든마을(2단지)(동아),1,10,41135-62,48.84,경기 성남분당구,198,41135,4, , 
"   194,000",중개거래,2003,2022,정자일로213번길,00019,00000,41135,01,0,4340130, 정자동,0010,0001,41135,10300,1,현대I-PARK2,1,13,41135-239,145.46,경기 성남분당구,10-1,41135,9, , 
"   129,000",중개거래,1994,2022,불정로,00219,00000,41135,03,0,3180030, 정자동,0110,0000,41135,10300,1,한솔마을(1단지)(청구),1,15,41135-68,84.965,경기 성남분당구,110,41135,4, , 
"   137,000",중개거래,2003,2022,정자일로,00239,00000,41135,01,0,3180021, 정자동,0009,0000,41135,10300,1,현대I-PARK1,1,15,41135-242,80.31,경기 성남분당구,9,41135,23, , 
"    73,000",중개거래,1994,2022,불정로,00195,00000,41135,03,0,3180030, 정자동,0198,0000,41135,10300,1,정든마을(6단지)(우성),1,15,41135-227,48.84,경기 성남분당구,198,41135,3, , 
"   117,500",중개거래,1994,2022,정자로76번길,00010,00000,41135,01,0,4340388, 정자동,0125,0000,41135,10300,1,상록마을(라이프2차),1,15,41135-226,71.61,경기 성남분당구,125,41135,3, , 
"   109,000",중개거래,1995,2022,내정로,00054,00000,41135,02,0,3180003, 정자동,0117,0000,41135,10300,1,한솔마을(6단지)(주공),1,15,41135-224,58.19,경기 성남분당구,117,41135,13, , 
"    72,500",중개거래,1995,2022,내정로,00054,00000,41135,02,0,3180003, 정자동,0117,0000,41135,10300,1,한솔마을(6단지)(주공),1,15,41135-224,39.87,경기 성남분당구,117,41135,3, , 
"    76,000",중개거래,1995,2022,내정로,00054,00000,41135,02,0,3180003, 정자동,0117,0000,41135,10300,1,한솔마을(6단지)(주공),1,15,41135-224,39.87,경기 성남분당구,117,41135,17, , 
"   160,000",중개거래,2004,2022,정자일로,00220,00000,41135,01,0,3180021, 정자동,0014,0001,41135,10300,1,동양정자파라곤(2단지),1,19,41135-266,84.95,경기 성남분당구,14-1,41135,3, , 
