청원인,청원명,청원의 취지,청원의 내용,청원분야,청원결과,청원종료일,청원동의시작일,청원동의종료일,청원 동의수
이**,"인천 미추홀구뿐만 아니라 전국적인 ‘나 홀로 아파트, 빌라’ 전세사기에 관한 청원","저는 전세사기 피해자입니다.

전국적으로 발생한 전세사기 피해에 대한 현재 정부의 피해대책은 너무나 미흡하여 실제 사기피해를 입은 피해임차인으로써 아래 항에 대하여 정책 재정 및 개정을 청원합니다.
1.긴급 거주 지원
2.피해세대 경매 중지 및 연기
3.피해지원센터설립
4.대출기한 연장
5.주택관리법의 개정 필요

○ 현재 실태
인천광역시 미추홀구의 ‘나 홀로 아파트, 빌라’는 건축 완공부터 현재까지 건설사, 임대인, 부동산, 주택관리업체의 조직적인 전세사기로 인해 피해를 입고 있음.
임대인이 어느 아파트에서는 부동산 중개인으로 활동하고 있으며, 다른 아파트에서는 관리업체 대표로 되어있음. 대략 30여명 정도의 조직적인 전세사기 행각으로, 피해자들이 직접 조사한 피해규모로만 2,000세대 이상이며 피해금액은 2,000억 원대 이상으로 추정.
부동산에서는 임대인의 재력을 과시하며 임차인을 현혹시키고, 선순위 근저당에 대하여 위험성을 고지하는 것보다 부동산에서 경매 피해가 있을 시 모든 책임을 지겠다며 안심시켜 피해자들에게 계약을 유도함. 또한, 임대인들의 세금 체납을 사실대로 이야기를 해주지 않고 계약 체결을 유도함. 이로 인하여 수많은 세대가 피해 발생.
이후 임대인들의 체납으로 인하여 경매가 진행되고 있으며, 이미 매각된 세대들에 대하여 피해보상이 시급한 상황.
이 문제는 인천뿐만 아니라, 세 모녀 전세사기사건, 빌라왕 전세사기사건과 더불어 대구, 부산, 광주 등 전국에서 전세사기 피해가 지속적으로 발생하고 있음. 모든 피해규모는 어마어마할 것으로 예상.","○ 문제점
낙찰자가 생겨 곧 퇴거해야하는 피해자들을 위한 ‘전세사기피해지원센터’가 강서구에 생겼다고는 하지만, 의미없는 지원만 이루어지고 있음. 아직 제대로 된 피해대책이 마련되지 않은 상황에서 지속적으로 경매가 진행된다고 할 경우, 거주지를 잃고 길거리로 쫓겨날 피해자들은 기하급수적으로 증가할 것.
계약이 끝나거나 얼마 남지 않은 피해자들은 대출의 연장 역시 문제. 임대인과의 연락은 되지 않고, 전세보증금을 돌려받지 못하니 대출을 갚지 못해 개인회생 및 파산으로 신용불량자가 될 수밖에 없는 상황. 
HUG에선 아직도 전세피해아파트에 대출이 진행되고 있음. 이로 인해, 몇몇의 부동산이 피해자들에게 HUG 안심전세대출로 전환을 유도, 또는 새로운 임차인을 구해 안심전세계약을 진행하고 있음. 현재 피해를 입은 임차인과는 연락이 되지 않는 임대인과 어떻게 연락을 하여 계약을 할 수 있었는지 의문.
건물 관리 업체 또한 문제. 관리비 횡령, 건물의 관리 소홀, 관리비 상세내역 공개 거부, 안전검사 미실시, 전기세 미납 등으로 안정적인 주거환경 역시 제대로 이루어지지 않고 있음.

○문제점에 따른 대책
1.긴급 거주 지원
강서에 마련된 단기적인 긴급 거주 지원이 아닌, 전국적으로 장기적인 거주 안정 지원으로 보완이 필요함.

2.피해세대 경매 중지 및 연기
현행법상 경매중지 및 연기는 경매개시자만 신청할 수 있지만, 전세사기 피해임차인들의 경우도 경매중지 및 연기를 할 수 있는 법 개정 필요.

3.피해지원센터설립
최초의 의지대로 전국적인 피해조사를 바탕으로 각 지역별 센터 설립 필요.

4.대출기한 연장
전세사기 피해에 따른 전세대출 구제뿐만 아니라 개인 파산 및 회생 절차를 밟는 피해자들에 대한 실질적 대책 필요.

5.주택관리법의 개정 필요.
실거주자들에게 관리단에 대한 권한이 발생할 수 있게 주택관리법의 개정이 필요함.

대통령님과 국토교통부장관님께서 언급하셨던 것들은 이루어지고 있는 지가 궁금합니다. 지금 당장 피해를 입은 이들은 어떤 지원을 받을 수 있는 지에 대한 대책마련이 전혀 없습니다. 관련 지자체에서는 피해현황 조사조차 제대로 이루어지지 않고, 지자체장과 면담조차 거절당하고 있습니다. 피해자들이 본업을 뒤로하고 직접 구청, 시청, 경찰청, 경찰서로 뛰어다니고 있습니다. 관리업체의 부당함을 직접 고발하고, 단수와 단전을 겪으며 이 또한 직접 한전과 상수도사업본부로 우리 상황을 알리고 있습니다.

전세사기로 국민들이 거주지를 잃고, 국민들의 세금이 사기집단의 재산이 되고 있으며, 피해 지원에 대한 대책이 시급합니다. 피해자들의 안정적인 거주환경과 새로운 전세사기의 정황이나 예상치 못한 변수에 대응하기 위해 컨트롤타워가 되어 줄 ‘전세사기피해지원센터’가 더욱 많아져야하며, 법률지원은 지속적이어야 하고, 필요한 모든 관련 부서의 협조 역시 즉각적으로 이루어져야 합니다.",국토/해양/교통,동의만료폐기,2022-12-31 00:01:00,2022-11-30 09:52:01,2022-12-30 23:59:59,2250
최**,"모든 학원, 상가 복도 cctv 의무화에 관한 청원",CCTV없는곳에서 일어나는 폭력을 막아주세요.,"안녕하세요.
봉담읍에 사는 초등학생  아이를 둔 엄마입니다.
저희아이는 학원강의실과 복도 복도화장실에서 학교폭력을 당해 지금 학교도 학원도 거부하는 상태입니다.전학가고싶다고합니다. 스트레스가커서 급성헤르페스와 림프염으로 입원도했고, 쌍#  씹#이라는욕과 머리뒷통수를 두번차이고 킥보드로 쳐서 맞았습니다.
화장실에서는 손가락 욕도 두번먹고 , 이일들이 10월부터 11월까지 일어난사건입니다. 그럼에도 불구하고 제대로된 사과를 받지못하고있으며, 상대방측, 학교,영어 학원에서는CCTV가없다는이유로, 저희아이를 지속적으로 괴롭힌게 아니라며 가벼운 솜방망이 처벌을 내리고자 학교장처분을 원하였습니다. 생긴지 얼마안된 아파트상가라 당연히 CCTV가 있을꺼라 생각했지만 엘리베이터 외에는 볼수가 없었습니다. 혹여나 더 큰 폭력을 당하는 학생들이 있기전에 CCTV 의무화를 요청합니다. 
제발 부탁드립니다. 더이상 학교폭력의 피해자가 억울한일을 당하지않도록 청원동의부탁드립니다.",국토/해양/교통,동의만료폐기,2022-12-31 00:01:00,2022-11-30 09:53:21,2022-12-30 23:59:59,283
송**,간호법 제정에 관한 청원,"'간호법' 제정을 통해 간호사의 영역과 업무 범위를 명확화 하고, 간호 서비스 개선을 통한 국민의 건강 증진에 기여하기 위함입니다.","현재 96개국에 '간호법'이 있고, OECD 국가 38개국 중 미국을 포함한 33개국이 '간호법'이 있습니다. 그러나, 의료 선진국을 표방하는 우리나라에서는 OECD 아시아 국가 중 유일하게 '간호법'이 없는 현실입니다. 미국은 1923년, 일본은 1948년에 '간호법'이 제정되었는데, 아직까지도 대한민국은 1951년 제정한 '의료법' 안에서 70년간 머물러있고, 관련 정책이 11개 부처에 흩어져 있어 전문성을 제대로 발휘하기 어렵습니다. 현재 '의료법'에는 간호사의 업무를 ""의사, 치과의사, 한의사의 지도하에 시행하는 진료의 보조""라고 규정하고 있습니다. 이는 전문화, 세분화 된 간호 업무를 전혀 반영하지 못하고 있습니다.

OECD 국가 중 인구 1,000명당 의료 기관에 근무하는 간호사는 평균 8.9명인데 비해, 우리나라는 3.8명으로 절반에도 미치지 못하고 있습니다. 그럼에도 입원 환자 재원 일수는 OECD 국가 평균보다 2배 이상 높습니다. 이러한 과중한 업무량은 간호사들이 임상에서 떠나는 원인입니다. 현재 우리나라의 간호사 48만 명 중 의료기관에서 근무하는 임상 간호사는 절반 수준인 24만 명에 불과합니다. 또한, 신규 간호사 1년 이내 시작률은 무려 47.7%에 육박합니다. 이는, 간호사들의 열악한 근무 환경을 여실히 대변하고 있습니다. 숙련된 간호사들이 이탈한 자리는 신규 간호사들이 채우게 되고 그로 인한 피해는 결국 간호를 받는 국민에게 돌아갈 수밖에 없습니다.

OECD 평균에 비해 우리나라는 의사 수가 턱없이 부족합니다. 2022 OECD 보건 통계에 따르면 2020년 기준 국내 의사 수는 인구 1천명 당 2.5명이며 한의사를 제외하면 2.0명에 불과합니다. 이는 OECD 평균인 3.7명보다 훨씬 적은 숫자입니다. 의사 수 부족을 해결하려면 필연적으로 의사 인력이 확대되어야 하지만, 의대 정원은 2007년부터 12년째 3,058명으로 동결되어 있는 현실입니다. 이렇듯, 턱없이 부족한 의사 인력을 대체하기 위해 만들어진 것이 'PA 간호사'입니다. '의료법' 상 의사의 영역인 '의료와 보건 지도를 임무로 한다.'라는 규정이 있음에도 불구하고, 이들은 단순히 의사보다 저렴한 비용으로 업무를 처리하고, 부족한 의사의 수를 채우기 위해 공공연하게 의사의 업무를 시행하고 있습니다. 그러나 정작 의료법에는 'PA 간호사'라는 명칭은 없습니다. 이는 불법 의료 행위을 뜻하고, 결국 사각지대에 놓인 'PA 간호사'를 보호해줄 법적 제도는 존재하지 않습니다.  이를 해결하기 위해 '간호법' 제정을 통해 간호의 영역과 업무 범위를 법적으로 명확히 하고, '전문간호사'를 발전시키는 것이 절실합니다.

'간호법'은 간호사만을 위한 법이 아닙니다. 초고령 사회를 목전에 앞둔 대한민국은 노인 인구와 만성질환자 수가 기하급수적으로 증가하고 있습니다. 이에 따른 국민의 건강과 생명을 보호하기 위해 돌봄 체계를 확립하고, 숙련된 간호 전문 인력을 확보하기 위해선 '간호법'제정이 필수적입니다.
여러분들의 많은 응원이 필요합니다.",보건의료,동의만료폐기,2022-12-31 00:01:00,2022-11-30 09:52:59,2022-12-30 23:59:59,177
박**,난치성 편두통 환자를 위한 CGRP 표적 치료제의 급여혜택 강화 촉구에 관한 청원,"WHO에서는 세계에서 두번째로 질병 부담이 높은 질환이 편두통이라고 발표했습니다. 하지만 아직 편두통이 질환이라는 인식 자체는 굉장히 적습니다. 갑작스럽게 심한 편두통 발작이 오면 일을 할 수가 없게 되고 휴가를 쓰는 일이 반복됩니다. 지금까지는 수많은 난치성 편두통 환자들은 기존의 다양한 편두통 예방 치료제에도 증상이 호전되지 않았고 부작용이 발생해 계속 고생했습니다. 2020년 초에 국내에 앰겔러티라는 CGRP를 차단하는 새로운 기전의 약이 나왔고, 작년 11월에 같은 기전의 아조비라는 약이 나왔습니다.

올해 9월 1일부터 많은 편두통 환자들이 학수고대하던 앰겔러티의 급여화가 고시되었습니다. 하지만 실제로 많은 난치성 편두통 환자들이 그 혜택을 보기 너무 어렵습니다. 이번 급여 정책은 실제 편두통 환자가 보기에는 너무 화가 났고, 현실적인 정책으로 더 많은 편두통 환자들이 급여 혜택을 받았으면 좋겠다는 마음에 청원을 올리게 되었습니다.

이런 급여 정책을 만드는 건강보험심사평가원이나 보건복지부 담당자들이 이 청원을 통해 더욱 합리적인 결정을 할 수 있었으면 좋겠습니다.","건강보험심사평가원에서 공개한 고시 자료[1]를 보면 대상 질환의 특성으로서 ""삽화편두통과 만성편두통 환자 모두 두통빈도의 악화 또는 급성기 치료의 효율저하로 인하여 일상생활의 장애(migraine-related disability)를 경험하게 되므로, 편두통 장애를 감소시키기 위한 적절한 편두통 예방치료가 필요함."", ""성인 만성편두통 환자의 예방치료는 뇌전증약, 비뇌전증약(베타차단제, 칼슘통로차단제, 항우울제), 보툴리눔독소, 칼시토닌유전자연관펩티드 단클론항체(calcitonin gene-related peptide (CGRP) monoclonal antibody) 등이 권고됨.""을 확인할 수 있습니다. 여기서 뇌전증약 및 비뇌전증약이 듣지 않을 경우 써볼 수 있는 약은 보툴리눔독소와 CGRP를 표적한 단클론항체입니다.

보톡스(보툴리눔독소)는 만성 편두통에서 급여가 되지 않습니다. CGRP 표적 치료제에 대해서도 아조비는 급여가 되지 않으며, 앰겔러티의 급여 기준은 각주에서 확인 가능합니다. [1]

저는 이것을 보고 다양한 생각이 들었고, 가장 먼저 말하고 싶은건 급여 확대와 현실화가 시급하다는 점입니다. 기존 앰겔러티를 투약했었던 환자들에 대한 급여 가이드라인도 없었으며, 아조비 투약 환자가 교체 투여할 수 있는 가이드라인도 없습니다. 이미 CGRP 억제제를 비급여 혹은 100% 자기 부담으로 내고 효과를 보던 사람들이 급여 혜택을 누리려면 다시 CGRP 억제제를 끊고, 8주 이상 안 듣던 약을 다시 먹고, 심평원이 요구하는 기준까지 증상이 악화되어 삶이 망가져야한다는 것입니다. 

저는 이 투약 조건이 굉장히 잔인하고 부조리적인 투약조건이라고 이야기하고 싶습니다. 옆 나라 일본은 한국과는 건강보험 급여 시스템이 다르다는 것은 알고 있습니다. 하지만 일본은 이미 세 종류의 CGRP 표적 치료제가 이미 급여가 되고 있으며 처방 조건은 각주의 파일과 같이 국내와는 대조적입니다. [2] [3] [4]

정말 건강보험 재정을 걱정하신다면 급여 안에서 본인부담금을 높인다거나, 아니면 다른 방법을 통해 제약사와 건강보험 재정 사이의 균형을 맞추었으면 좋겠습니다. 현재의 가이드라인으로 얼마나 많은 환자들이 혜택을 보고 있는지 모르겠으나, 지금의 편두통 급여 정책에는 문제가 있다는 것을 알리고 경종을 울리고 싶습니다.

저는 CGRP 표적 치료제를 통해 효과를 크게 보고 있는 환자입니다. 앰겔러티를 처음 맞고 다시 사회생활을 시작할 수 있었고, 앰겔러티의 효과가 떨어졌을 때 아조비의 효과를 보게 되었습니다. 아직도 CGRP 억제제를 투약받고 있습니다. 많은 사람들이 CGRP 표적 치료제를 통해 삶이 나아졌다는 글을 보면서 기쁘지만, 많은 사람들이 돈이 없어서 CGRP 표적 치료제를 시도해보지 못해본다는 말이 너무 안타깝습니다. 삽화성 편두통과 만성 편두통 사이에 수많은 편두통 환자들이 있고, 편두통이 가져오는 생산성 저하와 질병 비용이 적지 않다는 것을 꼭 헤아려주셔서 부디 이 문제에 더 많은 분들이 관심을 가져주셨으면 좋겠습니다.

진심으로 부탁드립니다. 긴 글 읽어주셔서 감사합니다.

출처
1. https://www.hira.or.kr/bbsDummy.do?pgmid=HIRAA030014040000&brdScnBltNo=4&brdBltNo=46962&pageIndex=1&pageIndex2=1
2. https://www.pmda.go.jp/files/000248990.pdf
3. https://www.pmda.go.jp/files/000248991.pdf
4. https://www.pmda.go.jp/files/000248992.pdf",보건의료,동의만료폐기,2022-12-29 00:01:00,2022-11-28 16:39:49,2022-12-28 23:59:59,524
최**,가상자산 위믹스 코인 거래지원종료에 관한 DAXA의 처리 투명성과 갑질논란에 관한 청원,한국거래소협회 DAXA에 의한 위믹스코인 거래지원 종료에 대한 투명성 조사와 갑질 논란 및 공지 전 기사유출에 대한 조사,"한국 거래소협회 DAXA는 10월27일 계획유통량과 실제유통량의 차이를 원인으로 삼아 위믹스 코인을 투자유의종목으로 지정하였고 두차례 유의 연장을 통해 위메이드로 부터 소명할 시간을 주었고 위메이드 측은 잘못된 유통량을 맞추기 위해 노력을 했으며 모든 원인을 해결하였으나 이에 대해 한국거래소협회DAXA는 요청한 자료를 위메이드 측으로 부터 전부 받았음에도 불구하고 거래지원종료를 결정하였고 또한 거래지원종료 공식공지 전 내부정보 유출로 기사가 먼저 나옴으로서 투자자들의 혼란과 큰 손실을 야기했다.그리고 거래지원종료 결정 당일 오후 대량의 매도가 두차례 있었던것으로 보아 내부적으로 정보 유출 및 거래로 투명한 조사를 요청하는 바이다.

또한, 한국거래소에 상장되어있는 코인종목 중 유통량조차 공시하지 않은 코인들이 상당수이며 지난 사례를 봤을 때 비슷한 사례로 투자유의가 지정된 코인이 있었지만 해당코인은 유의해제가 되었으나 위믹스코인에 대한 이번 거래지원종료 결정은 위믹스코인만 차별하는 이른바 ""왕따"" 논란이 없을 수 없다.

부디, 당국의 철저한 조사를 통해 고통받고 있는 투자자들이 투명한 내용이라도 알 수 있도록 면밀하고 심도있는 조사를 바랍니다.

",재정/세제/금융/예산,동의만료폐기,2022-12-29 00:01:00,2022-11-28 16:40:33,2022-12-28 23:59:59,6165
김**,기업의 과대포장에 관한 청원,"1) 과대포장 문제를 해결하기 위함입니다.
2) 국가의 일회용품 소비를 줄이기 위함입니다. ","환경 문제가 날이 갈수록 심화되고 있습니다. 세계가 노력하고 있지만 여전히 부족하며 이를 개선하기 위해선 특히나 일회용품 소비를 허용하고 있는 사소한 부분 하나하나를 제재하고 수정해야할 필요가 있다고 생각합니다. 그 중 본 청원에서는 과대포장을 언급하고 싶습니다. 
우리나라는 EPR(생산자책임재활용제도)를 시행하고 있습니다. 그러나 문제는 이것이 오직 소비자에게만 적용이 된다는 것입니다. 소비자가 아무리 재활용을 한들 기업이 계속해서 과대포장을 한다면 문제는 나아지지 않습니다. 소비자는 환경을 위해 노력하지만 기업은 그 필요성조차 느끼지 못하게 되는 것입니다. 이것이 옳은 것일까요? 그저 소비자에게 책임을 떠넘기는 것일 뿐입니다. 
한 일보의 분석 결과에 따르면 기업별 재활용폐기물은 생산량 ㎏당 평균 152원만을 냅니다. 이 책임비용은 기업 매출액의 약 0.1%에 불과합니다. 과연 어떠한 대기업이 이 미미한 부담 때문에 포장을 줄일까요. 심지어 자체브랜드상품에만 생산자 재활용 의무가 부과되기 때문에 유통업체들은 매출액의 0.01%에 불과한 분담금을 내기도 합니다. 다른 나라와 비교해본다면 더 심각합니다. 프랑스의 경우 비용을 기업 분담금으로 조달하여 복합재질 플라스틱에 대한 분담금으로 약 636원을 부과합니다. 네덜란드는 940원을, 벨기에는 약 1,945원을 부과하고 있습니다. 
외에도 환경부는 2008년부터 해마다 명절에 과대포장 집중 단속을 실시하고 과태료를 부과해왔다는 것으로 알고 있습니다. 그러나 이는 그저 일시적인 조치일 뿐입니다. 지난 4월 환경부는 배송을 위한 제품의 포장 공간 비율, 포장 횟수 등을 제한하는 규정을 마련하였으나 2년간 유예기간을 붙인 탓에 온라인 제품에 대한 과대포장은 여전히 사각지대 속에 있기도 합니다. 
그린피스의 조사에 따르면 가정집 플라스틱 폐기물의 78.1%가 식품포장재였습니다. 정녕 소비자의 노력만으로 해결될 수 있는 문제일까요? 기업에 부담을 주어야하는 문제가 아니라고 할 수 있을까요? EPR의 목적 중 하나는 생산자가 생산 단계에서부터 재활용이 용이한 재질을 사용하고 플라스틱 양을 줄이도록 유도하는 것입니다. 우리나라는 이 목적을 향해 내딛고 있는 것이 맞을까요?
우리나라는 현재 과대포장에 대해 적절한 조치를 취하고 있지 못하다고 생각합니다. 이러한 이유로 본 청원은 실질적인 환경보호에 조금이라도 기여하고자 청원하는 바입니다. 부디 과대포장을 하는 기업들을 하루빨리 제재하여 주시고 처벌을 가하여 주십시오. ",재난/안전/환경,동의만료폐기,2022-12-29 00:01:00,2022-11-28 16:37:57,2022-12-28 23:59:59,157
박**,크론병을 앓고 있는 아들의 건강보험 적용 요청에 관한 청원,크론병 환자의 건강보험 적용에 대한 건의,"저의 아들은 크론병을 앓고 있습니다.
크론병 치료나 완화에 사용되는 약 또는 주사가 건강보험 적용이 안되면 고액이라 건강보험을 적용해서 10%의 금액으로 치료를 받고 있습니다.
보통 크론병 환자는 스테로이드제나 자가면역억제제를 사용하는데
아들은 이 두가지 약을 사용하면 백혈구수치가 2천으로 떨어집니다. 정상인의 경우 백혈구수치가 4천에서 1만인데 말이죠.
백혈구 수치가 낮으면 재생불량성 빈혈 등 다른 질병에 걸릴 확률이 확률이 높아져 그 두가지 약을 사용하지 못하고
""스텔라라""라고 하는 주사제를 사용을 했습니다. 
그 주사제는 250만원인데 건강보험 혜택을 받아서 25만원에 4번을 맞았습니다.

그런데 9월 중순에 병원으로 연락이 왔습니다. 자가면역억제제나 스테로이드제를 사용하지 않아 
아들의 경우 ""스텔라라""의 건강보험 혜택을 받을수 없다는 겁니다.
담당교수님이 2달간 건강보험공단에 의의 신청을 하고 전화를 해도 돌아오는 답은 같았다고 합니다.

무슨 병이든 예외는 있는거 아닙니다.
자가면역억제제와 스테로이드제를 사용하지 못하는 제 아들의 경우는 250만원이나 하는 주사를 
건강보험혜택을 받지 못하면 250만원을 내고 주사를 맞아야 합니다.

아들이 건강보험 혜택을 볼수있도록 도와주세요.",보건의료,동의만료폐기,2022-12-29 00:01:00,2022-11-28 16:39:26,2022-12-28 23:59:59,650
길**,난임부부지원 횟수의 확대 및 시험관 지원에 관한 청원,난임부부지원 횟수의 확대,"저는 아직 시험관을 시작하지 않은 결혼 2년차인 여성입니다.
 
늦은 결혼이였지만, 행복한 가정을 이루어살고있습니다.
하지만, 아이가 2년차임에도 쉽게 생기지 않아 시험관을 준비중에 있습니다.

요즘 결혼이 늦은것도 있고, 젊은 나이에도 쉽게 아이가 생기지 않는다는 이야기를 들어왔지만, 실질적으로 더 피부로 와닿게 듣고 있습니다. 
우리나라는 현재 출산률이 굉장히 저조한 것으로 알고 있습니다.
그럼에도 시험관은 신선 9회 동결 7회 까지 국가에서 지원이 되는 것으로 알고 있습니다.

많다면 많은 기회지만, 많은 부부들이 이 기회를 끝으로 포기를 한다는 것을 알게 되었습니다.

아이를 낳을 환경 개선도 너무나 중요하지만, 정작 아이를 갖고 싶어하는 부부들에게는 기회가 너무나 적다는 것을 알게 되었습니다.

듣기로는 10년 준비하는 부부들도 있고, 기회 안에 아이가 생기지 못한 부부들 중에는 많은 부부들이 금전적인 부분으로 포기한다는 이야기를 들었습니다. 
아이가 간절함에도 비용 때문에 포기한다는 것이죠. 
저는 아직 시작하진 않았지만, 벌써 부터 겁이 나고 두렵습니다.
아이가 너무나 간절한데 돈 때문에 포기해야 한다는 것이요.  
기회안에 아이가 생기지 않으면 어쩌지? 그럼 난 그런 금전적인 부담을 이겨낼수 있을까....

시험관을 한다는 것은 그만큼 아이만 생긴다면 사랑으로 키울 거라는 것이고, 포기하는 부부들이 없다면, 출산률에도 조금은 도움이 되지 않을까 생각합니다.

아직 시작도 못한 준비 과정에서 안타까운 이야기들을 들으니 마음이 아프고 또 두려운 마음에 국민 청원을 생각하게 되었습니다

두서 없는 이야기지만, 그래도 정책에 반영이 되었으면 하는 마음에 처음으로 국민청원을 두드려 봅니다. 

감사합니다.",저출산/고령화/아동/청소년/가족,동의만료폐기,2022-12-29 00:01:00,2022-11-28 16:37:29,2022-12-28 23:59:59,567
임**,중고거래 사기시 신속한 계좌 지급정지 필요에 관한 청원,중고거래시 개인채팅 유도한 사기시 입금한 계좌에 신속한 지급정지 법 마련을 위함,"중고거래 글을 올려 허위 판매글을 올려
개인 연락을 유도, 녹색창(네이버 페이)안심거래를 하도록하여
허위 결제 링크를 보내고 구입 물품의 판매금을 개인 계좌로 입금하게 하는 식의 방법으로 일어나는 사기는 1차 입금으로 피해를 입히고 나서
법인계좌 특성상 수수료 포함하지 않은 판매금의 수수료를 추가 입금하지 않아 다시 수수료 포함된 금액을 입금하게 하여 2차 피해를 입히고
수수료가 포함되지 않은 돈을 환불 받기 위해 환불지정 금액을 맞추라고 하며 추가 입금을 유도하는 방식으로 3차 피해를 입히는 식으로 사기를 벌이고 있습니다
누가봐도 명백한 사기인 상황에서 입금시킨 통장을 지급정지 시키려 했으나 보이스 피싱이 아니라는 이유로 은행과 경찰서에서 도움이 절실함에도 거절되고 있는 실정입니다
오히려 현재는 보이스피싱 사기꾼이 피해자에게 돈을 입금하고 피해를 입었다라는 이유로 사기꾼이 선량한 사람들에게 계좌를 지급정지 시킨후 합의금 목적으로 현금을 뜯어내고 있다고 합니다
국민을 보호하고 서 있어야 하는 법이 오히려 진짜로 필요로 하는 사람들에게는 피해를 입을 수 밖에 없는 방향으로 되어 있고 그걸 악용하는 사례가 있으니 원통할 뿐입니다
경찰서에 사기를 입은 내용을 제출하고 사기당한 수법에 대해 얘기하면 백이면 백 사기수법이라고 얘기합니다
사기라고 인정되는 사건이 접수가 되면 바로 그 계좌를 지급정지 하는 법령이 생겨야 한다고 생각합니다
앞으로 2차 3차 피해가 없도록! 
피해자가 더이상 늘지 않도록 부탁드립니다!!",재정/세제/금융/예산,동의만료폐기,2022-12-29 00:01:00,2022-11-28 16:39:03,2022-12-28 23:59:59,162
박**,교통지옥 유발하는 수석대교 하남 미사강변 선동IC 연결반대에 관한 청원,"하남시 미사강변지구 교통지옥을 유발할 수석대교-선동IC로의 연결을 반대하며  위치변경 설치를 유관부서에 요청합니다!

<한강 교량 수석대교 신설 개요> 
목적: 3기 신도시 남양주 왕숙지구를 위한 교통 대책 사업 
사업규모: 1.2km 왕복 4차로 
구간: 남양주시 수석동-하남시 선동교차로 
사업비:2803억원 
사업시행사:LH ","수석동-선동IC로 연결되는 이 한강 교량 신설 사업은 하남과 남양주의 상생을 도모한다는 명목으로 민선 7기 김상호 전 하남시장께서 수락했다는 사실을 알고 있습니다만 이는 <하남 시민들의 동의 없이는 수석대교 건설을 수락하지 않겠다>던  애당초 약속과는 다른  반민주적이고 독단적인 정책결정이었습니다.
미사강변대로-선동IC 구간과 올림픽대로 강일IC 구간은 만성 교통체증에 시달리고 있는 구간입니다. 선동IC 인근에는 중.고등학교가 위치해 있는데다 선동IC에서 강동대교까지는 거리가 고작 1.4km밖에 되지 않습니다. 현재 선동IC에 인접하여 설치된 교량으로는 미사대교, 강동대교, 구리암사대교가 있고 고덕대교마저 신설되어 더 이상의 교량 건설은 필요치 않다고 판단합니다. 
만약 수석대교마저 신설된다면 교량 간 간격이 짧아 합류하고 나가는 차량들로 인해 더욱 복잡한 교통상황을 야기할 것으로 예측됩니다. 
현재 하남시 미사강변지구의 세대수가 44186이고 등록된 인구수는 십만명에 육박합니다.
(자료제공: 통계청kosis/수록기간2013년-2020년/자료갱신일 2022년 9월 8일) 
하남시 미사 1, 2동 및 풍산동의 차량 등록현황은 승용차 기준 47949대 이고(자료제공: 하남시청홈페이지/2022년 8월17일) 
국가에서 제공하는 DB를 근거로 예측된 관외 통근 차량 수는 그 중 5-60% 정도를 차지한다고 합니다. 
이 정도의 수도 현재 교통상황이 감당하지 못하는 가운데 6만 6000세대의 남양주 왕숙지구가 이용할 무료 교량 수석대교를 교통지옥인 선동IC에 연결한다는 것은 상생이 아닌 공멸로 가는 길입니다. 
수석대교를 신설할 경우 8차선의 올림픽대로를 10차로로 확장한다고 하지만(선동IC-강동대교-구리암사) 미사강변도시보다 규모가 큰 왕숙지구와 그 인접 지구의 이동차량을 감당하기에는 큰 무리가 있고, 특히 수석대교는 무료 교량으로서 이용자 수가 많을 것으로 예상되어 근본적으로 강변북로가 확장되지 않으면 제대로 된 교통 대책이 이루어 지지 않을 것 이라고 판단됩니다. 

비용적인 측면에서도 수석대교 건설과 부수적인 공사들을 포함하면 총 3225억 원이 지출될 예정이지만 교량의 신설 대신 기존에 설치된 강동대교로 위치를 조정하여 확장한다면 원안의 사업비용에서 520억 원이 절약된다고 합니다. 
최근 하남시에서 수석대교 신설 대신 강동대교 근접 설치 안을 요청했다는 사실을 주민 간담회를 통해 전해 들었습니다. 
아직 교량 설치에 관한 조정 단계가 남아있다고 하여 희망을 품고 수석대교의 위치변경을 위한 국민청원을 신청하게 되었습니다. 
저의 이런 주장이 자칫 지역 이기주의처럼 비칠 수 있겠지만, 이미 교통지옥인 선동으로서의 다리 연결은 남양주 시민에게도 하남 시민에게도 득이 되지 않는다고 생각합니다. 
물론 국민의 한 사람으로서 국가의 발전을 위한 신도시 개발 사업이 중요한 것을 인지하고 있지만, 한 지역의 일방적인 희생을 강요하며 득보다 실이 많을 것으로 예상되는 불합리적인 한강 교량 신설사업은 장기적으로 하남시와 남양주시 모두에게 큰 피해를 줄 것으로 판단됩니다. 존경하는 대통령님 그리고 유관부서 여러분, 더욱 합리적인 교통대책 마련과 더불어 수석대교 건설의 폐지가 어렵다면 부디 원안보다 사업비를 크게 절감할 수 있는 강동대교 근접 설치안을 채택하여 주시기를 강력하게 요청합니다.
",국토/해양/교통,동의만료폐기,2022-12-23 00:01:00,2022-11-22 16:32:30,2022-12-22 23:59:59,464
